Name,User ID,Followers,Followed,Tweets,Listed Count,Favourites Count,Media Count,Verified,Joined Twitter Date (UTC),Location,Description,Tweeted Search Term?,Pinned Tweet ID,URL,Is Blue Verified,LABEL
Dan,2158996025,19481,8047,246885,5,1109408,3430,FALSE,10/29/2013 18:55,Nairobi,Chelsea 💙,Yes,,,FALSE,0
Kalonzo Musyoka,121041518,1593911,234,5799,453,2114,1693,FALSE,3/8/2010 8:36,Kenya,"The official account of 10th Vice President of the Republic of Kenya (2008 - 2013), @TheWiperParty Leader",No,,https://t.co/9OcwpK3WAL,TRUE,0
Sun Tzu,357368805,29884,2565,99977,46,41905,10075,FALSE,8/18/2011 7:48,Nairobi,OVO🦉 Ongatarongai's Very Own.,Yes,1.56E+18,,FALSE,0
KROGSTAD,1.51E+18,2409,1786,64909,3,145707,2335,FALSE,4/4/2022 8:33,Emirates ,What's that smell?!,Yes,,,FALSE,0
👑🅦🅔🅡🅤👑,2506066356,374,535,7934,1,23398,773,FALSE,5/19/2014 1:55,"Planet Earth,heard of it?",𝕸𝖆𝖓𝖈𝖍𝖊𝖘𝖙𝖊𝖗 𝖀𝖓𝖎𝖙𝖊𝖉 𝖙𝖍𝖗𝖔𝖚𝖌𝖍 & 𝖙𝖍𝖗𝖔𝖚𝖌𝖍 🔴,Yes,1.53E+18,,FALSE,0
Cornelius K. Ronoh,1.14E+18,117485,28693,25029,24,29909,11190,FALSE,6/5/2019 9:56,,Independent thinker and unapologetically truthful man.,Yes,,,TRUE,1
Francis Gaitho,1.52E+18,70965,379,10100,29,67,3559,FALSE,5/12/2022 19:41,Kenya,Parliamentary Aspirant - Thika Town Constituency,Yes,,https://t.co/sRp011otTT,TRUE,1
♏✝️🅾️❌❗☪️™️,1.54E+18,382,598,7010,0,7324,11,FALSE,6/19/2022 16:47,"Nairobi, Kenya","𝐬𝐢𝐧𝐚𝐧𝐠𝐚 𝐩𝐫𝐞𝐬𝐬𝐮𝐫𝐞 𝐤𝐚𝐦𝐚 𝐩𝐮𝐧𝐜𝐭𝐮𝐫𝐞 🇯🇲🚮

#MUFC",Yes,,,FALSE,0
Dr. Miguna Miguna,407781903,2738559,1210,87710,420,110639,3576,FALSE,11/8/2011 15:01,Office Tel: 905-760-6006. ,Official Twitter account for Dr. Miguna Miguna. Liberation. Integrity. Popular Revolution. Social Justice. Rule of Law. History. Email: Miguna@kmmlawyers.com,Yes,1.81E+18,https://t.co/Ll3Xrl2kW9,TRUE,0
Kijana Ya Atwoli ( parody ),1.51E+18,413868,578,104548,161,81875,7466,FALSE,3/26/2022 13:31,moi university 🇰🇪,"THIS IS A PARODY ACCOUNT. ||Dm for promos||Arsenal✨ @Arsenal || @ECB001 brand ambassador|| Home of random thoughts+untold science||
https://t.co/EbyGqFVLH6",Yes,1.79E+18,,TRUE,0
Captain Kiruy™️,2242032815,1769,2094,11717,2,45035,272,FALSE,12/24/2013 18:34,"Brisbane, Australia ",Social Justice defender|| Trade Finance expert|| Banker|| Spirited fighter|| ||Frustrated FC Arsenal fan|| team Countryside.,Yes,,,FALSE,1
Polycarp,9.44E+17,274868,9976,442443,70,455891,11671,FALSE,12/20/2017 15:44,The Kingdom of Wakanda,Welcome to my diary of random thoughts. I know a little about a lot.,Yes,,https://t.co/tFbOpsvAQk,FALSE,1
Victor Munyi,8.11E+17,34,118,1226,0,9127,1,FALSE,12/19/2016 11:05,Kenya,,Yes,,,FALSE,0
elvis 🇰🇪,2484065734,1934,1080,39247,4,106939,2857,FALSE,4/14/2014 12:22,,"Nzambe asili kosala eeeehhhhhhhh!
#RejectFinanceBill2024",Yes,1.80E+18,,FALSE,1
Zaraki,1.47E+18,5,51,837,0,2501,0,FALSE,12/11/2021 16:55,,,Yes,,,FALSE,0
GADDAFI 🇵🇸,2363327379,3907,3497,48102,2,82258,995,FALSE,2/24/2014 17:35,Bilbil,| Muslim | Husband | Father | Ex Commando | Arsenal | Reggae | Kibrit |,Yes,,,FALSE,0
James Bong,7.41E+17,40409,4878,265050,41,81963,10672,FALSE,6/8/2016 20:16,,I will pay you to ignore me,Yes,1.79E+18,,FALSE,0
ughcyndy,1.38E+18,86,135,1892,1,30326,1,FALSE,3/31/2021 17:01,,I get the bag and change destinations 💅🏾,Yes,1.63E+18,,FALSE,1
Bevalyne Kwamboka,8.74E+17,162984,34098,152692,48,135918,17822,FALSE,6/11/2017 20:41,,blossoms of savannah | your favorite Chipo mwitu vendor #EndFGMNyamira,Yes,1.80E+18,https://t.co/jGlCcPJHR3,TRUE,1
sandrakagendo,2770526665,11537,269,23845,4,99625,340,FALSE,8/26/2014 16:58,Kenya,,Yes,1.39E+18,,FALSE,0
Kenyans.co.ke,38737371,1984878,69308,266521,514,883,91620,FALSE,5/8/2009 20:27,"Nairobi, Kenya","Media/News Company based in Nairobi, Kenya.",Yes,,https://t.co/Mp1oflzT1O,TRUE,0
Wambura wa Mwangi,7.92E+17,232,325,4385,1,14546,124,FALSE,10/29/2016 9:05,Nairobi,Virtual Assistant - Digital Content Specialist and Media Buyer,Yes,,https://t.co/PF4rj1pJUU,FALSE,1
Raw Abiding Citizen,433493272,2125,467,354182,20,26637,21998,FALSE,12/10/2011 16:51,✈ Flight Mode ,#The90PlusShow | THE #FootballKE ADVOCATE | #MUFC | REGGAE MUSIC AGAIN | MAD MAX VERSTAPPEN DERE WA UMOINNER 🏆🏆🏆 | BAKED FOR ALL OCCASIONS || #KOLONIZED𓃵,Yes,1.60E+18,https://t.co/RhbStwXkHj,TRUE,0
𝖙𝖍𝖆𝖙’𝖘 𝖙𝖔𝖚𝖌𝖍,3388198815,1366,258,25393,4,23207,3199,FALSE,7/22/2015 23:54,wano 🏯,spotify links & film opinions .,Yes,1.81E+18,,FALSE,0
Crystal Asige,279389309,8620,94,3497,13,4581,755,FALSE,4/9/2011 5:07,Kenya,"Senator of the Republic of Kenya, Award-Winning Musician, Disability Champion, Art-ivist & visually impaired person but the streets just call me VIP 🤩",Yes,1.80E+18,https://t.co/NwQpnB8PD1,TRUE,1
Segan,1.47E+18,46,51,1824,1,20411,18,FALSE,12/15/2021 5:50,,,Yes,,,FALSE,0
Aleckie Ronald,88114649,119277,1902,708384,101,82,63390,FALSE,11/7/2009 4:47,Lita,Springboks 💚 | RF100 | Serena 23 | AF85 | Virat Kohli | Eliud 1.59 | LH100 | Ledecky | Armu Forever ❤| Cleo ❤️|,Yes,1.81E+18,,FALSE,0
Kimuzi,992886834,322289,4146,349607,116,116942,6851,FALSE,12/6/2012 11:36,"Nairobi, Kenya",I'm on a new path. Reality is often disappointing.,Yes,1.49E+18,https://t.co/czxo0T9IMC,TRUE,1
Muchiri Mike,8.67E+17,39079,838,54552,9,119077,976,FALSE,5/24/2017 21:15,Nairobi,"@CivicRiseKE !! Best Influencer 2022 (DMA) GOLD winner, Kuza Awards 2023 (CAK) My Single KE is OUT NOW!!!👇🏽 #SoundsOfTheLastDays",Yes,,https://t.co/yY6T2Etbvm,FALSE,1
🏌🏾‍♀️🏊🏾‍♀️nixx,1.24E+18,5369,1275,32216,4,57725,1079,FALSE,3/30/2020 22:20,Kenya,"Love, Laugh Probably",Yes,1.80E+18,,FALSE,1
"Nyandia Gachago, ACIM",159024354,24182,1934,92592,39,14139,7129,FALSE,6/24/2010 7:21,"Nairobi,Kenya",||Strategic Marketing & Digital Pro||Chartered Marketer||Divinely guided||Lectiophile||Techie||Smile Train Ke Ambassador||Scaling Brands to #1 ||Turbohydrate||,Yes,1.80E+18,https://t.co/OXTqRu0nbB,TRUE,0
AliceNgangaYouRaggedyAssBitch🖕,9.50E+17,24670,1547,38635,11,16741,6630,FALSE,1/6/2018 12:35,,"#RutoMustGo !!!!!!!!

🇰🇪",Yes,1.81E+18,,FALSE,1
KIPRONO,245649231,58753,7623,76735,40,19804,8262,FALSE,2/1/2011 4:46,,"1XBET Link: https://t.co/eIkGSAnVwj.                                 
       Promocode: RONOH",Yes,,,TRUE,0
Chinda,209705570,6880,6347,13478,1,150396,278,FALSE,10/29/2010 18:57,Nigeria,"iWrite | iSing | iBlog | iCoach |Soul/ Pop. https://t.co/f6TLxHRiuD
mofasasings@gmail.com.
https://t.co/kt5yg8DBm3",Yes,1.49E+18,https://t.co/nO1XJJUwTs,FALSE,1
molly,7.35E+17,1597,2246,6640,0,26266,15,FALSE,5/25/2016 8:18,,An accountant,Yes,,,FALSE,0
sensei,1.35E+18,94,64,7291,1,57184,18,FALSE,1/27/2021 3:18,,kill bill🥺,Yes,1.50E+18,,FALSE,1
Eldoret Icon🇰🇪,1.38E+18,29610,6822,48900,3,21582,3271,FALSE,3/30/2021 13:25,"Nairobi, Kenya","Your Favourite Trip Plug.Civil Engineer.Certified nfluencer. Car Twitter.Manchester United⚽️.
DM for money deals. #RutoMustGo",Yes,1.74E+18,,FALSE,0
𝒽ℯ𝓁𝒾𝓊𝓂,407083641,14195,1760,9758,30,15939,113,FALSE,11/7/2011 16:20,,chasing the sun to tomorrow ☀️,Yes,1.75E+18,,FALSE,1
Charles Mugo,366300522,9299,6196,88059,19,116645,1673,FALSE,9/1/2011 23:00,Kenya,https://t.co/5N37cZYD0k.. Subscribe to my YouTube channel.. I am a gunner until the end of times... Arsenal forever ❤️,Yes,,,FALSE,1
Abraham,4319509636,26202,1654,159312,23,172876,1760,FALSE,11/29/2015 15:49,Observatory,"#RutoMustGo

#StopKillingUs

#StopAbductingUs 

Create a new Kenya.

Occupy everywhere!",Yes,,https://t.co/KuTHvXM0d7,FALSE,0
Mical🫧🩷,1.64E+18,12521,173,22189,5,10600,2120,FALSE,3/30/2023 22:52,,🇰🇪 || Anticipating future enjoyment💋,Yes,1.79E+18,https://t.co/IRqb56T7FI,FALSE,1
IPOA,2148425813,330650,405,5093,199,2148,1725,FALSE,10/22/2013 12:00,Nairobi,IPOA is a State Authority created under an Act of Parliament No. 35 of 2011 .,No,1.63E+18,https://t.co/wo7YYB3jvo,TRUE,0
Kuwams🍉,1.52E+18,26953,1642,83486,19,19380,4060,FALSE,4/30/2022 18:02,,Mkunga,Yes,1.81E+18,https://t.co/BPZEigocqw,TRUE,1
Mitchell🌾🇰🇪,1.64E+18,5869,1566,4327,3,12202,516,FALSE,3/29/2023 5:11,Kajiado 🌾and Nakuru🌱,BSC Agriculture student (Agronomy)🌱||Daughter of a farmer🌾|| Book reader || happy soul😊.,Yes,1.68E+18,,FALSE,1
Boniface,1.11E+18,92272,7818,497241,56,20444,40241,FALSE,3/14/2019 21:45,Kenya,Artist|Digital marketer|Producer|For business promotions or inquiries WhatsApp strictly for business. No negativity.Trendsetter,Yes,1.81E+18,https://t.co/7GW1UKAU4t,TRUE,0
Gitz ,2220857761,27790,13329,25968,8,90068,6150,FALSE,11/29/2013 5:05,"Nairobi, Kenya",Pedi wa ma pipipi popopo #RejectFinanceBill2024,Yes,1.81E+18,,FALSE,0
Mercy Nicky,1.18E+18,120695,10326,197896,62,176489,14656,FALSE,10/17/2019 13:17,Ask and it shall be answered.,"CHOP LIFE, PROBLEM NO DEY FINISH!

Man City fan💙💙",Yes,1.65E+18,,TRUE,0
Sir-Rap-A-Lot,1.64E+18,12724,5973,52338,4,32034,1547,FALSE,4/6/2023 11:56,,Dm for Business inquiry. Parody Account,Yes,,,FALSE,0
Laura,1.33E+18,174,549,1173,0,2577,9,FALSE,11/30/2020 4:38,"Nairobi, Kenya",positive vibes only✌️,Yes,,,FALSE,0
Antonymous,1.71E+18,179,977,1687,0,2966,4,FALSE,10/13/2023 18:20,On Earth ,@antonymous,Yes,,,FALSE,0
Thanos,1.73E+18,2183,569,2919,0,17885,182,FALSE,12/2/2023 22:57,"Nairobi, Kenya",Thunderbolt and lightning very very frightening me,Yes,1.80E+18,https://t.co/TEc1g6FuSw,FALSE,1
t. 🇰🇪,9.39E+17,398,374,7075,0,25626,320,FALSE,12/7/2017 19:22,United Kingdom,that angry black woman x,Yes,,https://t.co/D9Sc4X4Xu6,FALSE,1
⁴⁴₅₅¹⁶Joy❤️‍🔥,1.07E+18,106109,846,119804,50,76631,6094,FALSE,12/14/2018 15:42,"Nairobi, Kenya",Sir Lewis Hamilton // Forza Ferrari // Marvel // Chess // J Cole // Eric Cartman so kewl // Wine & Miso Soup connoisseur // sushi  // CATS🐈,Yes,1.80E+18,https://t.co/NmtNX9DTww,TRUE,0
𝒜𝓉𝑜𝓉𝒾,1974684206,3622,587,10928,2,103103,517,FALSE,10/20/2013 10:37,Area 51,grow some thick skin baby,Yes,,,FALSE,0
Josh,7.92E+17,59841,6187,118949,18,182835,3513,FALSE,10/27/2016 13:34,Kenya,"Tutor~
Agnostic~
Charity~
Climate Change🗺
Writer~
DM for PROMOS and Ads.",Yes,,,FALSE,1
Book Ten,1.13E+18,77102,5231,181866,33,151468,6015,FALSE,5/12/2019 16:27,Nairobi ,"Public Figure.

Global Brand Influencer 

Contact bookten114@gmail.com",Yes,1.74E+18,https://t.co/EolpTDM7cX,TRUE,1
Drew 🥶,1.10E+18,1159,774,9367,2,94529,398,FALSE,2/26/2019 17:39,"Nairobi, Kenya",Arsenal & RB Racing 🏎  #wolvesback,Yes,,,FALSE,1
murugi ♡,1.32E+18,6774,23,25949,42,21670,1175,FALSE,10/14/2020 12:47,"Nairobi, Kenya","Cybersecurity 👩‍💻 , True Crime and TV shows.",Yes,,,FALSE,1
Erick Omondi,1.09E+18,388,418,351,0,2372,3,FALSE,1/21/2019 15:51,"Nairobi, Kenya","A Political commentator/A Thespian/ Environment 
 enthusiast.",Yes,,,FALSE,0
Bahati bee🇰🇪,3178083761,1452,1876,5700,0,40394,15,FALSE,4/17/2015 21:33,,"God above everything. // 
KENYAN",Yes,9.01E+17,,FALSE,1
Puruu.B,1.50E+18,5328,1833,24084,5,392430,837,FALSE,2/24/2022 20:34,🇰🇪,"a rockstar, that's me in my dreams",Yes,1.74E+18,https://t.co/GlGxSyjLmG,FALSE,1
Nelson Amenya,2723825049,47059,37964,35145,20,18597,2224,FALSE,7/25/2014 5:16,"Jouy-en-Josas, France",Afrinet Carbon Co-Founder 🇰🇪 | VP MBA Student Council 🇫🇷 | Crusader| @HECParisMBA | VP KSAF | The Star Ke opinion columnist | My tweets are my own opinion,Yes,1.81E+18,https://t.co/431vtAihQx,TRUE,1
David Ndii,7.16E+17,1119586,420,47304,457,328,3767,FALSE,4/1/2016 10:39,,stand out of my light,No,,https://t.co/OVJFBvzpI3,TRUE,0
phantéau,104128758,49818,789,374098,274,134295,22936,FALSE,1/12/2010 10:39,Barbados,Visual Artist • Interim President of Zimbabwe • Joie de vivre • Deadbeat Plant Dad • IG: artbywangwe,Yes,1.75E+18,https://t.co/FXUeQdWlK0,FALSE,1
Daddy Owen,61182149,107533,969,26688,120,4320,4771,FALSE,7/29/2009 12:26,,#NAME?,Yes,,https://t.co/aeQjPV34cl,FALSE,0
Britney,1.11E+18,12347,6599,85228,2,22445,8306,FALSE,3/30/2019 13:12,"Nairobi, Kenya","Serenity Prayer🌸

Introvert😶

Music🎧",Yes,1.29E+18,,FALSE,1
NDOLO,1.25E+18,78,368,2061,0,13472,140,FALSE,4/2/2020 12:23,"Nairobi, Kenya",Self-centered filmmaker,Yes,1.72E+18,https://t.co/uBVwXe2YG7,FALSE,0
Master Fujo.,571643366,997,956,28303,1,52874,366,FALSE,5/5/2012 10:43,"Nairobi,Kenya","Intellectual athlete, Child of God, Traveller.

https://t.co/SKiFanNoPD…",Yes,,,FALSE,1
Mubarak Gøøner 🇰🇪,330564709,3337,5007,95208,6,295008,1000,FALSE,7/6/2011 20:21,"Nairobi, Kenya","⭐Last of my Kind.. yet They're Still Hunting⭐
 @Arsenal FC⚽ Diehard Fan |[| Herbalist🍁 |]| 24HRs Paper Chaser @MyOwnLANE |]|",Yes,1.20E+18,,FALSE,1
Rapcha The Sayantist,50242372,113900,3055,73511,42,164924,4834,FALSE,6/24/2009 7:20,,It breaks my heart.... They ain't believe in us.... GOD DID 🤍,Yes,1.75E+18,,TRUE,0
@vincent,1.54E+18,19,26,2640,0,2640,7,FALSE,6/29/2022 14:03,,Swimming,Yes,,,FALSE,1
Kamtu Ka Mbao,8.47E+17,20111,981,380775,21,226,17075,FALSE,3/29/2017 6:50,"Nairobi, Kenya",Music ~ #MUFC ~,Yes,,,FALSE,0
Josse ole Nixx,1.30E+18,891,1715,6041,1,47392,23,FALSE,9/8/2020 13:41,Kenya,"GOOD NEWS DON'T SELL A NEWSPAPER
I believe in social justice.
True fan of Dada Son (Gramps Morgan music and Morgan Heritage )
I enjoy my company",Yes,,,FALSE,1
Jeremy Asynchronous,244964510,3294,407,21918,9,10313,1245,FALSE,1/30/2011 15:09,"Nairobi, Kenya",Software Developer #MUFC To infinity and beyond! Fortune favours the bold. From tomato farmer to API farmer.,Yes,,,FALSE,1
"Tycoon Andy,Flavour Ambassador",3357422139,1064,5419,6130,0,553,183,FALSE,7/3/2015 21:06,كينيا,"CEO Tel-Africa Technologies,FIFA referee,sports man 🥅⚽🎖️🎖️⛳, MIGHTY CHELSEA 💙
 Business man,Culinary enthusiast 🧑‍🍳🍜
Contact ;kanaryandy@gmail.com",Yes,,,FALSE,1
Kisii,1193035566,6415,4541,10186,5,7407,187,FALSE,2/18/2013 12:36,Bonkura village,A Father to a Son. A son to a father. #COYG,Yes,,,FALSE,0
Řõððïę,1.24E+18,107714,11617,315594,32,77282,18784,FALSE,3/13/2020 17:28,"Usijali,Form ni ya pesa?Niitie","All Things Basketball🏀 ~ A Red Devil 🔴~Celtics, Bleed Green💚 ~ RTs are NOT endorsements✌️",Yes,1.81E+18,https://t.co/XEDIrtsnRt,TRUE,0
"KIPCHUMBA MURKOMEN, E.G.H",256136003,2738239,2700,25010,532,172,4056,FALSE,2/22/2011 18:47,Republic of Kenya ,"Husband, Father,Son, Brother,Uncle and Kenya’s Cabinet Secretary Roads&Transport. I am both a work of art and an artist at work !",Yes,,,TRUE,0
Nyamisa Chelagat,1.68E+18,6631,3620,27274,5,14796,1296,FALSE,7/20/2023 7:01,"Nairobi, KE","Sabaot in the City/
Mum/
Research/
Tech/
@KOYJumuiya Ambassador
#ALX_SE
https://t.co/E3UBgFef74",Yes,1.80E+18,,FALSE,0
thisissorandom🍉,1.28E+18,3989,853,72382,3,202099,1371,FALSE,7/5/2020 20:56,,This is a @l_roxxie stan account ‼️,Yes,1.74E+18,,FALSE,0
canine_artist,1.71E+18,49,128,294,0,378,0,FALSE,10/4/2023 14:38,,,Yes,,,FALSE,0
Raman🇰🇪,460846636,877,7502,51083,0,114616,236,FALSE,1/11/2012 5:35,kenya,County 001|| Agoraphobic|| Catholic|| Automaniac|| Arsenal My DNA.,Yes,1.77E+18,,FALSE,1
T.S MWENDWA,8.33E+17,1983,1872,24382,0,238607,1637,FALSE,2/17/2017 9:03,"Kakamega, Kenya","AfroOPTIMISTIC Christian.
•Economics @MmustKenya •Geopolitics •Human Rights •Human Development •Poetry

|Lets Engage|",Yes,1.47E+18,,FALSE,0
Paulcj Mathenge,636273976,597,1402,12272,7,2234,147,FALSE,7/15/2012 15:55,Mtwapa Kenya,"Veterinary Surgeon,Animal Feeds Nutritionist, Consultant Poultry Production,Excutive Director Cosmic Limited,Father and Husband. 
Founder @VeterinaryKe",Yes,1.10E+18,https://t.co/ufOwlXzojw,FALSE,0
Rodgers Kipembe Mpuru,1.11E+18,332364,180,50495,37,109022,3940,FALSE,3/11/2019 7:27,Kenya 🇰🇪,Official Twitter Account of Rodgers Kipembe Mpuru.,Yes,,,TRUE,1
Jojo . 🇰🇪,4046272461,600,1255,7657,6,14594,351,FALSE,10/26/2015 13:08,Kenya 🇰🇪,🍺|🛒|🚜|🏳️,Yes,,,FALSE,1
Evansquez,7.26E+17,33038,5892,406013,11,1110565,8761,FALSE,4/28/2016 23:20,,"||•Spoken Word Artist||•Puns||•
I'm Greatness in Human form||•Mabrouk🍀||•",Yes,,https://t.co/fjwQrJ2h9S,FALSE,0
Nimbusnest,3293602419,480,360,41269,4,66881,26,FALSE,5/22/2015 3:47,Kenya ,,Yes,,,FALSE,0
Ndegwa Njiru Adv.,1.28E+18,68634,423,2186,11,479,302,FALSE,6/24/2020 11:01,Ndegwa & Ndegwa Advocates ,"A purpose driven Advocate of the High Court of Kenya who keeps his mind on the objective, not the obstacle.",Yes,,https://t.co/0jaP4V4dHl,FALSE,0
MsAchieng'🇵🇸🇸🇩🇨🇩,1.45E+18,147,317,21203,0,84364,6,FALSE,10/22/2021 6:49,Kenya🇰🇪,"In a universe of  cars,cats, dogs, writing,travel,books,the color black and eyeliner.",Yes,,,FALSE,0
mellow dramatic out now 🎭,8.93E+17,741,458,17938,2,73143,970,FALSE,8/3/2017 15:50,"Nairobi, Kenya ",Songwriter,Yes,,https://t.co/jHvY7us98i,FALSE,1
Antony Nderitu,2319542127,1173,3698,45761,0,76997,13,FALSE,2/2/2014 7:36,Eldoret,The Great Manchester United Diehard,Yes,,,FALSE,0
SLYVIA _SSARU,1.28E+18,369015,1350,244910,129,237443,6526,FALSE,7/9/2020 14:08,"Nairobi, Kenya",ANIME🔶TECH🔶MUSIC,Yes,,,FALSE,1
Jontae arap Nyongi,1.04E+18,28618,8314,232493,14,19203,5890,FALSE,9/20/2018 18:40,"Nakuru, Kenya",#GGMU,Yes,1.80E+18,,FALSE,0
M,331124892,1122,1249,17693,0,440870,20,FALSE,7/7/2011 17:49,"Nairobi, Kenya",.,Yes,,,FALSE,0
GT 🌸,1.15E+18,150,188,1503,0,3156,7,FALSE,7/20/2019 17:51,"Mombasa, Kenya","Owner @Grace_clothing_ke 
Affordable outfits
view,subscribe, share
👇👇👇",Yes,,https://t.co/8aFIQJjmTW,FALSE,1
MetroBoomin,2512738893,153716,569,145222,69,258854,6447,FALSE,4/27/2014 14:16,Kasaraniontiople,Untold Yarns of a poignant Veteran. |Director & security consultant at SharkEye security•,Yes,1.74E+18,https://t.co/ieId69xEVn,TRUE,0
Onyango Otieno 🌻🇰🇪,594431308,31257,5366,79111,113,85781,2833,FALSE,5/30/2012 8:39,"Nairobi, KENYA",Storyteller | Creative Entrepreneur | Challenging dominant harmful narratives of heteromasculinity ⚡️| Mental Health & SRHR Activist | Be Brave!,Yes,1.56E+18,https://t.co/RAa71hJz1m,FALSE,1
Wekesa,1.19E+18,5910,1877,387080,9,477250,2123,FALSE,10/23/2019 4:36,"Nairobi, Kenya",|| Mungu Mbele || Science || Tech || History || Sports || In a love hate relationship with Man City ||,Yes,1.37E+18,,FALSE,1
A pimp named Slickback,1.26E+18,32435,1068,29220,19,9773,1218,FALSE,5/7/2020 12:42,źion is i home,Mashallah. Author. #KureformNdioForm . i deal electronics at @zurielectronics .,Yes,1.64E+18,https://t.co/llyjCVTqzW,FALSE,0
Mbiti Mwondi MD,566179580,63731,597,39796,18,72130,1587,FALSE,4/29/2012 10:21,📎 Reasons.pdf,"MBChB,MBA,MPH: Medicine,Philosophy,Politics,Economics,Freelancing,Entertainment,Sports,Books,Technology! Trumper,Sapiosexual,Freethinker 😎Amapianoist 🎵",Yes,1.74E+18,https://t.co/g7JzXyI866,TRUE,0
Magati,1.25E+18,443,1153,13269,2,27498,664,FALSE,4/6/2020 9:10,,"Gooner 🔴

Passion, Clarity, Energy",Yes,,,FALSE,1
GATHONI K.,141535278,79199,724,334923,110,59085,20977,FALSE,5/8/2010 9:59,Nairobi Kenya,WOMAN | Voice artist | ART | only here for the honeymoon phase do not show me your true colors | Rice | Girl goes gym | Stories|,Yes,1.80E+18,https://t.co/kYIsXD0NMq,FALSE,1
GOON👨🏾‍💻,1.08E+18,320,318,17634,2,23233,1269,FALSE,1/7/2019 12:02,1000101,"6'2 nerd with a knack for code and a love for the beautiful game💻⚽  | 
@ChelseaFC",Yes,,,FALSE,0
balaka,1.46E+18,14,28,2022,0,1848,0,FALSE,11/7/2021 17:48,,Mkadinali!,Yes,,,FALSE,1
REIGNS 🔝,1.08E+18,2929,2647,17628,0,43756,86,FALSE,12/27/2018 7:46,Global,Money on my mind that's why I use it to overthink.,Yes,,,FALSE,1
Kenyan.Story,4171207102,350,339,674,0,93,58,FALSE,11/12/2015 12:18,"Nairobi, Kenya","Maker of good things.

Creative",Yes,,https://t.co/GckCw8Lka4,FALSE,0
Bunju_Bandos,589401394,695,1256,11803,1,53134,500,FALSE,5/24/2012 20:26,"Nairobi, Kenya","Life is really simple, but we insist on making it complicated.
arsenal",Yes,,,FALSE,1
Lenny Papito,69331419,1564,704,13158,7,3179,537,FALSE,8/27/2009 16:16,The Milky Way,I know a thing or two | Journalist | Thomson Reuters Fellow|  Experienced Communications Specialist | Digital Media | Occasional Chef.,Yes,1.81E+18,,TRUE,1
DR.SADIST.,1.63E+18,10905,3216,59048,0,326713,1988,FALSE,3/4/2023 9:07,"Kent, OH","If you don’t value your time, neither will others. Stop giving away your time and talents. Value what you know & start charging for it.
|Influencer|Activist|",Yes,1.79E+18,,TRUE,0
MULEMBE™️,1.58E+18,10963,4347,283323,4,287810,2259,FALSE,10/11/2022 6:58,Kenya ,"BABA JOVIAL //

DM FOR BUSINESS // PR //WHATSAPP 0701674635",Yes,1.81E+18,,TRUE,0
junior Raymarcus,1.61E+18,730,640,21980,0,16815,736,FALSE,1/10/2023 21:23,Makueni ,United in my DNA ❣️❣️❣️,Yes,,,FALSE,0
