
record_type,id,date_start,date_end,geo,title,summary,actors,trigger_topics,instrument,amount,currency,meta,source_refs,casualty_join_key
informal_indicator,KE_INF_IND_2017_jobs_informal_share,2017-01-01,2017-12-31,Kenya (national),Informal sector share of new jobs (2017),"Kenya’s Economic Survey 2018 reported that approximately 83.4% of the 897,800 new jobs created in 2017 were in the informal sector, underscoring the sector’s role in job creation.",,"informal_employment,new_jobs",,,,"{""indicator_name"": ""share of new jobs created by informal sector"", ""value"": 83.4, ""unit"": ""percent"", ""direction"": ""unknown"", ""population_group"": ""newly employed"", ""data_source_type"": ""survey"", ""data_granularity"": ""annual""}",['https://www.businessdailyafrica.com/bd/data-hub/news-indepth-companies-mull-more-job-cuts-on-rising-costs-2246710#:~:text=For%20instance%2C%20the%20informal%20sector,the%20Economic%20Survey%202018%20shows'],
informal_indicator,KE_INF_IND_2019_sme_employment_share,2019-01-01,2019-12-31,Kenya (national),SMEs employing nearly 85% of workforce (2019),"A Business Daily report noted that local small and medium-sized enterprises — many of which operate informally — employed nearly 85% of the Kenyan workforce in 2019, though they faced low demand from consumers and large firms.",,"informal_employment,SMEs,employment_share",,,,"{""indicator_name"": ""SME employment share"", ""value"": 85, ""unit"": ""percent"", ""direction"": ""unknown"", ""population_group"": ""workforce"", ""data_source_type"": ""report"", ""data_granularity"": ""annual""}",['https://www.businessdailyafrica.com/bd/data-hub/news-indepth-companies-mull-more-job-cuts-on-rising-costs-2246710#:~:text=%E2%80%9CThis%20also%20means%20local%20SMEs%2C,%E2%80%9D'],
informal_indicator,KE_INF_IND_2022_social_protection_spending,2022-01-01,2022-12-31,Kenya (national),Social protection coverage for informal workers (2022),"A World Bank Kenya economic update observed that social protection programmes such as Haba Haba and Mbao help informal workers save for retirement, but social assistance spending is only about 0.3% of GDP and coverage remains low among informal workers.",,"informal_employment,social_protection",,,,"{""indicator_name"": ""social protection spending as share of GDP"", ""value"": 0.3, ""unit"": ""percent_of_GDP"", ""direction"": ""unknown"", ""population_group"": ""informal workers"", ""data_source_type"": ""report"", ""data_granularity"": ""annual""}",['documents1.worldbank.org/curated/en/099400212072220291/pdf/P1797690ba796602b092ba0149f48220ed7.pdf#:~:text=data%2C%20providing%20income%20support%20to,Inua%20Jamii%20program%2C%20social%20assistance'],
episode,episode_2020_covid_informal,2020-03-27,2020-12-31,Kenya (national),COVID‑19 curfew and market closures impact informal workers,"The Kenyan government’s national curfew and partial lockdown during the COVID‑19 pandemic closed markets and restricted movement, disrupting the livelihoods of daily wage earners, vendors and boda boda operators; no targeted rescue measures were provided.",,"curfew,market_closures,informal_employment",,,,"{""informal_impact"": ""direct"", ""impact_channels"": [""curfews"", ""market closures"", ""transport restrictions""], ""affected_informal_groups"": [""daily wage workers"", ""vendors"", ""boda boda""], ""severity"": ""high"", ""data_granularity"": ""episodic""}",['www.ulandssekretariatet.dk/wp-content/uploads/2022/12/Kenya-LMP-2022-final.pdf#:~:text=implemented%20measures%20to%20counter%20the,9'],
policy,policy_2020_covid_curfew,2020-03-27,2020-06-30,Kenya (national),COVID‑19 national curfew and restrictions,"To contain the spread of COVID‑19, Kenya imposed a nationwide curfew and restricted movement and market operations, leading to the closure of informal markets and reduced trading hours.",,"COVID-19,curfew,public_health",restriction,,,"{""informal_impact"": ""direct"", ""impact_channels"": [""curfews"", ""market closures""], ""affected_informal_groups"": [""informal workers""], ""policy_type"": ""public health emergency""}",['www.ulandssekretariatet.dk/wp-content/uploads/2022/12/Kenya-LMP-2022-final.pdf#:~:text=implemented%20measures%20to%20counter%20the,9'],
policy,policy_2022_social_protection_reforms,2022-01-01,,Kenya (national),Social protection programmes for informal workers,"Programmes like Haba Haba and Mbao encourage informal workers to save for retirement. However, World Bank analysis notes that social assistance coverage and adequacy remain low, with spending on social safety nets about 0.3% of GDP.",,"social_protection,informal_workers",spend,,,"{""informal_impact"": ""direct"", ""impact_channels"": [""social security"", ""pensions""], ""affected_informal_groups"": [""informal workers"", ""retirees""], ""policy_phase"": ""ongoing""}",['documents1.worldbank.org/curated/en/099400212072220291/pdf/P1797690ba796602b092ba0149f48220ed7.pdf#:~:text=data%2C%20providing%20income%20support%20to,Inua%20Jamii%20program%2C%20social%20assistance'],
link,shock_2003_imf_freeze->KE_INF_IND_2000_2010_informal_employment_share,,,,IMF lending suspension and informal employment,The IMF lending suspension and subsequent conditionality amplified hardships among informal workers who formed the majority of the workforce.,,,,,,"{""source_type"": ""shock"", ""source_id"": ""shock_2003_imf_freeze"", ""target_type"": ""informal_indicator"", ""target_id"": ""KE_INF_IND_2000_2010_informal_employment_share"", ""relation"": ""amplified"", ""mechanism_note"": ""High informal employment share meant most workers lacked social protection; IMF loan suspension and conditionality increased economic hardship, amplifying stress in informal livelihoods."", ""confidence"": 0.4, ""evidence_refs"": [""\u3010663989761823768\u2020L20-L54\u3011"", ""\u3010696902548373840\u2020L82-L120\u3011""]}","['www.wiego.org/wp-content/uploads/2019/09/Charmes_IE.SubSaharan.Africa.pdf#:~:text=than%2080%25%20of%20total%20non,and%20by%20country%20and%20region', 'https://www.aljazeera.com/news/2003/11/22/imf-ends-kenya-freeze#:~:text=The%20IMF%20suspended%20lending%20to,former%20ruler%20Daniel%20arap%20Moi']",
link,KE_INF_IND_2010_2021_informal_employment_share->incident_2009_constitution_protest,,,,Informal employment rise and constitutional protest,Growing precarity in informal employment preceded the constitutional reform protests.,,,,,,"{""source_type"": ""informal_indicator"", ""source_id"": ""KE_INF_IND_2010_2021_informal_employment_share"", ""target_type"": ""incident"", ""target_id"": ""incident_2009_constitution_protest"", ""relation"": ""preceded"", ""mechanism_note"": ""The rise in informal employment through the 2010s reflected limited formal job prospects; this growing precarity preceded civic mobilisations for constitutional and socio-economic reforms."", ""confidence"": 0.3, ""evidence_refs"": [""\u3010509250893375210\u2020L2477-L2483\u3011"", ""\u3010437454675774348\u2020L94-L105\u3011""]}","['www.ulandssekretariatet.dk/wp-content/uploads/2022/12/Kenya-LMP-2022-final.pdf#:~:text=the%20formal%20,2010%20to%202021%2C%20reaching%2083', 'https://www.voanews.com/a/a-13-2005-03-16-voa36-67382392/274856.html#:~:text=Print']",
link,policy_2020_covid_curfew->episode_2020_covid_informal,,,,COVID curfew triggers informal-sector shock,Restrictions during COVID‑19 directly triggered a shock to informal livelihoods.,,,,,,"{""source_type"": ""policy"", ""source_id"": ""policy_2020_covid_curfew"", ""target_type"": ""episode"", ""target_id"": ""episode_2020_covid_informal"", ""relation"": ""triggered"", ""mechanism_note"": ""The national curfew and market restrictions introduced in March 2020 directly suppressed economic activity in informal markets, triggering a livelihood shock for daily wage earners and traders."", ""confidence"": 0.8, ""evidence_refs"": [""\u3010509250893375210\u2020L1070-L1080\u3011""]}",['www.ulandssekretariatet.dk/wp-content/uploads/2022/12/Kenya-LMP-2022-final.pdf#:~:text=implemented%20measures%20to%20counter%20the,9'],
link,policy_2022_social_protection_reforms->KE_INF_IND_2022_social_protection_spending,,,,Social protection reforms respond to low coverage,Policy reforms sought to improve social protection for informal workers in response to evidence of limited coverage.,,,,,,"{""source_type"": ""policy"", ""source_id"": ""policy_2022_social_protection_reforms"", ""target_type"": ""informal_indicator"", ""target_id"": ""KE_INF_IND_2022_social_protection_spending"", ""relation"": ""responded_to"", ""mechanism_note"": ""The expansion of social protection programmes aimed to address low coverage and spending on social assistance for informal workers, responding to analyses showing only about 0.3% of GDP allocated to social safety nets."", ""confidence"": 0.6, ""evidence_refs"": [""\u3010445770543725306\u2020L2624-L2647\u3011""]}",['documents1.worldbank.org/curated/en/099400212072220291/pdf/P1797690ba796602b092ba0149f48220ed7.pdf#:~:text=data%2C%20providing%20income%20support%20to,Inua%20Jamii%20program%2C%20social%20assistance'],
link,KE_INF_IND_2017_jobs_informal_share->incident_2005_referendum_rallies,,,,Informal job dominance and earlier unrest,High informal job share preceded protests during constitutional reform debates.,,,,,,"{""source_type"": ""informal_indicator"", ""source_id"": ""KE_INF_IND_2017_jobs_informal_share"", ""target_type"": ""incident"", ""target_id"": ""incident_2005_referendum_rallies"", ""relation"": ""preceded"", ""mechanism_note"": ""The dominance of informal job creation by 2017 reflects long-term employment precarity that preceded earlier political unrest surrounding constitutional reform."", ""confidence"": 0.2, ""evidence_refs"": [""\u3010640413546242065\u2020L210-L213\u3011"", ""\u301046168072966761\u2020L156-L170\u3011""]}","['https://www.businessdailyafrica.com/bd/data-hub/news-indepth-companies-mull-more-job-cuts-on-rising-costs-2246710#:~:text=For%20instance%2C%20the%20informal%20sector,the%20Economic%20Survey%202018%20shows', 'https://www.theguardian.com/world/2005/nov/22/kenya.davidfickling#:~:text=Share']",
link,KE_INF_IND_2019_sme_employment_share->contribution_2003_imf_prgf,,,,SME employment share and IMF conditions,Dominance of SMEs and informal employment links back to early 2000s economic reforms.,,,,,,"{""source_type"": ""informal_indicator"", ""source_id"": ""KE_INF_IND_2019_sme_employment_share"", ""target_type"": ""contribution"", ""target_id"": ""contribution_2003_imf_prgf"", ""relation"": ""preceded"", ""mechanism_note"": ""High dependence on SMEs employing much of the workforce can be traced to earlier economic reforms and IMF conditions that emphasised retrenchment and fiscal austerity, indirectly shaping labour markets over time."", ""confidence"": 0.2, ""evidence_refs"": [""\u3010640413546242065\u2020L168-L170\u3011"", ""\u3010696902548373840\u2020L82-L120\u3011""]}","['https://www.businessdailyafrica.com/bd/data-hub/news-indepth-companies-mull-more-job-cuts-on-rising-costs-2246710#:~:text=%E2%80%9CThis%20also%20means%20local%20SMEs%2C,%E2%80%9D', 'https://www.aljazeera.com/news/2003/11/22/imf-ends-kenya-freeze#:~:text=The%20IMF%20suspended%20lending%20to,former%20ruler%20Daniel%20arap%20Moi']",
